snr_db,fc_mae_hz,bw_mape_percent,k_mape_percent,symbol_count_accuracy,code_accuracy,exact_code_recovery
0,949.9687044746178,0.16947952893347618,0.16947952893347723,1.0,1.0,1.0
1,2800.236851269735,0.40276308430807023,0.40276308430806895,1.0,0.9444444444444444,0.7777777777777778
2,1727.5850916750012,0.120485287772748,0.12048528777274653,1.0,1.0,1.0
3,2910.435518911597,0.2825232074105994,0.2825232074105998,1.0,0.9722222222222222,0.8333333333333334
4,1660.1833860170186,0.48929442271474954,0.48929442271474843,1.0,0.9704861111111112,0.8888888888888888
5,827.1618679959405,0.13118215192996524,0.13118215192996815,1.0,0.9861111111111112,0.9444444444444444
6,2422.026502117579,0.14706740930445072,0.1470674093044531,0.9444444444444444,0.9340277777777778,0.8888888888888888
7,1351.5063767678996,0.29337995472942746,0.29337995472942674,1.0,0.9861111111111112,0.8888888888888888
8,605.1449343144648,0.14434308672831714,0.14434308672831678,1.0,0.9826388888888888,0.9444444444444444
9,925.1560489790863,0.17104218068465313,0.17104218068465102,1.0,0.984375,0.9444444444444444
10,1452.0880817711004,0.19027284247404702,0.19027284247404713,1.0,0.9982638888888888,0.9444444444444444
