snr_db,fc_mae_hz,bw_mape_percent,k_mape_percent,symbol_count_accuracy,code_accuracy,exact_code_recovery
0,4928.142513377055,0.526954813930995,0.5269548139309956,0.6666666666666666,0.5,0.3888888888888889
1,5313.552679645583,0.7732592782910521,0.773259278291053,1.0,0.7864583333333334,0.4444444444444444
2,3208.904061079944,0.43701285015077124,0.43701285015077274,0.9444444444444444,0.8871527777777778,0.7222222222222222
3,5530.356781190586,1.113371000395513,1.113371000395511,1.0,0.7899305555555556,0.4444444444444444
4,4748.891716567282,0.6363160247781195,0.6363160247781199,1.0,0.8836805555555556,0.6666666666666666
5,3479.511621259968,0.34158529986031966,0.34158529986032005,1.0,0.8715277777777778,0.6111111111111112
6,6661.10913488816,0.3980264669011257,0.39802646690112703,1.0,0.9149305555555556,0.7222222222222222
7,4356.616143787733,0.5447119083067617,0.5447119083067634,1.0,0.8819444444444444,0.7222222222222222
8,3180.5110129956997,0.558410990180092,0.5584109901800937,1.0,0.8871527777777778,0.7222222222222222
9,5362.443704628425,0.591914357853832,0.5919143578538345,1.0,0.8420138888888888,0.5
10,4349.867903406522,0.346840334281711,0.3468403342817114,1.0,0.8697916666666666,0.6111111111111112
