class,samples,classification_accuracy,route_success_rate,fc_mae_hz,bandwidth_mape_percent,chirp_rate_mape_percent,direction_accuracy,symbol_count_accuracy,code_accuracy,exact_code_recovery,freq_sep_mape_percent,fsk_code_accuracy
LFM,198,1.0,1.0,257.04237038642316,0.0357873479353772,0.03578734793537704,1.0,nan,nan,nan,nan,nan
BPSK,198,1.0,1.0,62.00694288813728,nan,nan,nan,1.0,1.0,1.0,nan,nan
QPSK,198,1.0,1.0,1515.9154381682695,nan,nan,nan,0.9848484848484849,0.9739583333333334,0.9696969696969697,nan,nan
LFM_BPSK,198,0.9949494949494949,0.9949494949494949,1521.0974358030649,0.22891893523270881,0.22891893523270881,1.0,0.9949238578680203,0.9779505076142132,0.9137055837563451,nan,nan
LFM_QPSK,198,0.9797979797979798,0.9797979797979798,4729.595284362326,0.5802719651875202,0.580271965187521,1.0,0.9690721649484536,0.8302190721649485,0.5927835051546392,nan,nan
2FSK_BPSK,198,1.0,1.0,25642.438689883635,nan,nan,nan,0.9848484848484849,0.97427398989899,0.9595959595959596,2.691792083013132,0.9848484848484849
