snr_db,classification_accuracy,route_success_rate
0,0.9814814814814815,0.9814814814814815
1,1.0,1.0
2,1.0,1.0
3,0.9907407407407407,0.9907407407407407
4,1.0,1.0
5,1.0,1.0
6,0.9907407407407407,0.9907407407407407
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,0.9907407407407407,0.9907407407407407
