Class,Precision,Recall,F1,Support
LFM,0.92018779342723,0.98989898989899,0.9537712895377128,198
BPSK,0.79,0.797979797979798,0.7939698492462312,198
QPSK,0.7684729064039408,0.7878787878787878,0.7780548628428927,198
LFM_BPSK,0.7172774869109948,0.6919191919191919,0.7043701799485861,198
LFM_QPSK,0.675531914893617,0.6414141414141414,0.6580310880829016,198
2FSK_BPSK,0.9740932642487047,0.9494949494949495,0.9616368286445013,198
