SNR_dB,Accuracy
0,0.7129629629629629
1,0.8518518518518519
2,0.8148148148148148
3,0.8148148148148148
4,0.7407407407407407
5,0.8333333333333334
6,0.7407407407407407
7,0.8148148148148148
8,0.8333333333333334
9,0.8796296296296297
10,0.8703703703703703
