Signal Class,Classification Accuracy (%),Center Frequency MAE (kHz),Bandwidth MAPE (%),Chirp Rate MAPE (%),Symbol Count Accuracy (%),Code Recovery Accuracy (%),Frequency Separation MAPE (%),FSK Sequence Accuracy (%)
LFM,100.0,0.25704237038642314,0.0357873479353772,0.03578734793537704,,,,
BPSK,100.0,0.06200694288813728,,,100.0,100.0,,
QPSK,100.0,1.5159154381682696,,,98.48484848484848,97.39583333333334,,
LFM_BPSK,99.4949494949495,1.521097435803065,0.22891893523270881,0.22891893523270881,99.49238578680203,97.79505076142132,,
LFM_QPSK,97.97979797979798,4.729595284362326,0.5802719651875202,0.580271965187521,96.90721649484536,83.02190721649485,,
2FSK_BPSK,100.0,25.642438689883633,,,98.48484848484848,97.42739898989899,2.691792083013132,98.48484848484848
