Class,Precision,Recall,F1,Support
LFM,0.98,0.98989898989899,0.9849246231155779,198
BPSK,0.9137055837563451,0.9090909090909091,0.9113924050632911,198
QPSK,0.91,0.9191919191919192,0.914572864321608,198
LFM_BPSK,0.7783505154639175,0.7626262626262627,0.7704081632653061,198
LFM_QPSK,0.775,0.7828282828282829,0.7788944723618091,198
2FSK_BPSK,1.0,0.9949494949494949,0.9974683544303797,198
