SNR_dB,Accuracy
0,0.8518518518518519
1,0.8333333333333334
2,0.8796296296296297
3,0.8055555555555556
4,0.8703703703703703
5,0.9259259259259259
6,0.9166666666666666
7,0.9537037037037037
8,0.9166666666666666
9,0.9351851851851852
10,0.9351851851851852
