SNR_dB,Accuracy
0,0.6296296296296297
1,0.6574074074074074
2,0.6018518518518519
3,0.6759259259259259
4,0.6481481481481481
5,0.6388888888888888
6,0.6296296296296297
7,0.6481481481481481
8,0.6018518518518519
9,0.5833333333333334
10,0.7685185185185185
