Class,Precision,Recall,F1,Support
LFM,0.9036697247706422,0.9949494949494949,0.9471153846153846,198
BPSK,0.4689265536723164,0.41919191919191917,0.44266666666666665,198
QPSK,0.4717741935483871,0.5909090909090909,0.5246636771300448,198
LFM_BPSK,0.5537190082644629,0.3383838383838384,0.4200626959247649,198
LFM_QPSK,0.5214007782101168,0.6767676767676768,0.589010989010989,198
2FSK_BPSK,1.0,0.8434343434343434,0.915068493150685,198
