snr_db,fc_mae_hz,symbol_count_accuracy,code_accuracy,exact_code_recovery
0,15353.010587376975,0.8333333333333334,0.7135416666666666,0.6666666666666666
1,416.2112903905064,1.0,1.0,1.0
2,204.31521508559348,1.0,1.0,1.0
3,146.88158252888914,1.0,1.0,1.0
4,123.25357059885249,1.0,1.0,1.0
5,101.42724568183378,1.0,1.0,1.0
6,108.68399792929671,1.0,1.0,1.0
7,78.94122149061656,1.0,1.0,1.0
8,74.80686410558863,1.0,1.0,1.0
9,32.18392186214866,1.0,1.0,1.0
10,35.354322800663795,1.0,1.0,1.0
